,tweet
654,안철수 쌍 특검법안 촉구 및 중재안 제안 기자회견 안철수 양당 떳떳하다면 반드시 제안을 받을 것 국민들께서 지켜볼 것 안철수 국민의당 대선 후보가 21년 11월 21일 국회에서 쌍 특검법안 촉구 및중재안 제안 기자회견 VoNB0mtYHk
670,안철수후보 시간을 끄는 자가 죄인이다 빠르게 특검 시작하는 것이 중요 중재안 尹관련 특검은 민주당이 李관련 특검은 국민의힘이 특검법 합리적인지는 국민의당 정의당이 판단 qtmeoT3PzH
678,안철수 심상정 후보 및 정의당과 함께 풀어갈 수 있기를 기대합니다 아직 협의가 끝난 게 아닌데여 암튼 두 정당 중 먼저 이 제안을 거부하거나 토를 달고 수작을 걸어 오는 것들이 범인이겄죠 크게 기대는 안 합니다 두 당이 특검을 가지고 싸우는데 2 2로 싸움이 확대된다는 걸 뿐 
681,안철수 시간 끄는 자가 죄인 이재명 윤석열 쌍특검 압박 CKwqcqrdRa
682, 쌍특검 촉구 안철수 이재명 윤석열 시간 끄는 자가 죄인 출처 한국일보 네이버 뉴스 HHhlAbp7DX 대장동 국민의힘 고발사주 민주당에 권한 법안 합리성 공정성 국민의당 정의당이 판단
698, 쌍특검 촉구 안철수 이재명 윤석열 시간 끄는 자가 죄인 출처 한국일보 네이버 뉴스 9EE1dkGBOi
701,안철수 쌍 특검 촉구 기자회견 zcAX3OaU6F
707,거대양당 십알단 드루킹 탁탁 털어도 먼지 하나 없는자 쌍특검 받아라 쌍적폐들아 대장동 고발사주 쌍특검 제안 압박 나선 안철수 출처 국민일보 네이버 뉴스 A2MwhMWbM3
709,안철수 李 尹에 제안 민주는 고발사주 국힘은 대장동 특검 추천 다음 뉴스 g31ZtcW2UD
710,안철수가 한방에 정리 해줬네 안철수 대장동 고발사주 특검 제안 거부하는 정당이 범인 출처 서울신문 네이버 뉴스 aa71q41FXy
711,촬스야 안렙 주가 많이 떨어졌니 너는 이제 잊혀진 이름이야 걍 빠져있어라 안철수 대장동 고발사주 의혹에 쌍특검 제안 거부하면 범인 C2Gjs56zZV
712,안철수 여야 특검법안 수용 촉구 공정여부는 비교섭단체가 평가 전자신문 b4JR3shlDA
713,안철수 尹 李 동시특검 촉구 특검법 국민의당 정의당이 평가 머니투데이 4QpuYikH6x
714,국민의힘 대장동 특검 촉구 안철수 고발사주도 함께 다음 뉴스 iF6vHxzM3m
715,안철수 李 尹에 제안 민주는 고발사주 국힘은 대장동 특검 추천 다음 뉴스 98pODm9Acm
718,안철수 대장동 특검은 국힘 고발사주는 민주당 추천 다음 뉴스 jkpLdKgHfa
720, 쌩까지 말고 당장 실시해라 쫄았냐 한번은 털고 가야지 안철수 대장동 개발 고발사주 의혹 쌍특검 제안 출처 KBS 네이버 뉴스 RYV1rhSZTx
723,안철수 대장동 고발사주 의혹에 쌍특검 제안 거부하면 범인 출처 조선비즈 네이버 뉴스 UgpjkxBZ3Z
725,안철수 여야 특검법안 수용 촉구 공정여부는 비교섭단체가 평가 출처 전자신문 네이버 뉴스 kl2d2XRsuD
745,안철수 李 尹에 제안 민주는 고발사주 국힘은 대장동 특검 추천 다음 뉴스 wEHz5rU9Te 기득권 정당 두 후보 대장동 비리 몸통 고발사주 배후 의혹 갇혀 떳떳하다면 제안 못받을 이유 없어 제안 거부하는 정당이 범인 
748,안철수 李 尹에 제안 민주는 고발사주 국힘은 대장동 특검 추천 다음 뉴스 5BfwVDvtuH
756,안철수 李 尹에 제안 민주는 고발사주 국힘은 대장동 특검 추천 다음 뉴스 1YewaJSius 하나의 제안이니 유불리 따지지 말고 신속히 해봄이 어떨까 
758,안철수 대장동 고발사주 쌍특검 하자 비교섭단체 중재안도 제시 출처 헤럴드경제 네이버 뉴스 JcxhjrdCsM 시간 끄는 자가 죄인 늦어도 연말 전 수사 착수해야 특검 추천 고발사주는 민주당이 대장동은 국힘이 특검법안 평가 국민의당과 정의당에 맡겨주면 된다 
764,안철수 李 尹에 제안 민주는 고발사주 국힘은 대장동 특검 추천 다음 뉴스 RiCWVDZgdm 정치 쓰레기 중간에서 삥이나 뜯으려는 얄팍한 속셈 누가 모를줄 아냐 
768, 안철수 안철수 대통령 후보 기자회견 쌍 특검법안 촉구 및 중재안 제안 LIVE 5nJRnh4O0A YouTube
769,안철수 李 尹에 제안 민주는 고발사주 국힘은 대장동 특검 추천 출처 뉴스1 네이버 뉴스 yVauviq1iX 기득권 정당 두 후보 대장동 비리 몸통 고발사주 배후 의혹 갇혀 떳떳하다면 제안 못받을 이유 없어 제안 거부하는 정당이 범인 
771,안철수 여야 쌍특검 법안 논의 착수하라 4정당 참여하는 중재안 제안 출처 아시아경제 네이버 뉴스 AMz4N6Zl9S 고발사주는 민주당이 대장동은 국민의힘이 제안을 거부하는 정당이 범인 
772, jsk437 쌍특검은 윤이 먼저 하자고 했음 안철수도 윤이 제안했다는 점을 분명히 했고 
774,역시 안철수 다시한번 외쳐보자 대신할수 없는 미래 설계자 안철수 쌍 특검법안 중재안 제안하는 안철수 대선후보 newspim FbREzIJuW4
776,당당한자가 대통령 당선되는 나라다 안철수 시간 끄는 자가 죄인 이재명 윤석열 쌍특검 압박 출처 더팩트 네이버 뉴스 Fe3NGw2Bpv
777, 양당 기득권 독재 종식 시키는데 못할게 뭐있냐 진정한 다당제는 숙명이다 중도당이 못할게 뭐있냐 솔직히 골수들 빼고는 가능한거 아닌가 제3지대 단일화 물꼬 틀까 안철수 심상정에 특검 공조 제안 이투데이 lsg0bMknYm
781, 쌍특검 촉구 안철수 이재명 윤석열 시간 끄는 자가 죄인 출처 한국일보 네이버 뉴스 AWtkoOo6DF
782, 쌍특검 촉구 안철수 이재명 윤석열 시간 끄는 자가 죄인 출처 한국일보 네이버 뉴스 BOgec1N7sG
784,안철수 여야 쌍특검 법안 논의 착수하라 4정당 참여하는 중재안 제안 출처 아시아경제 네이버 뉴스 JY18FOLYUe
785,당당하면 징징 거리지 말고 즉각 쌍특검 받아라 찌질이들아 안철수 대장동 고발사주 쌍특검 제안 시간끄는자 죄인 출처 MBC 네이버 뉴스 R1RBGOL0N1
787, 쌍특검 촉구 안철수 이재명 윤석열 시간 끄는 자가 죄인 출처 한국일보 네이버 뉴스 Jxa7xyfCkl
792,안철수 李 尹에 제안 민주는 고발사주 국힘은 대장동 특검 추천 다음 뉴스 wRyM01hdg8
794, 국민의힘 내부에서 뇌물수수혐의가 몇명이나 있는데 거기에 특검을 맏기지는 마라토너 안철수 달리다뇌가굳었수 봐주수 안철수 李 尹에 제안 민주는 고발사주 국힘은 대장동 특검 추천 다음 뉴스 P78C0PsCfj
795, 안철수 후보는 대선후보들이 특검 수용에 찬성했으나 민주당과 국민의힘이 협의에 나서지 않는 것을 두고 시간을 질질 끄는 이중 플레이 후보는 착한 역 정당은 나쁜 역을 맡는 전형적인 굿 캅 배드 캅 전략 이라고 싸잡아 비판했다 cSqxuPsDUF
797, 쌍특검 촉구 안철수 이재명 윤석열 시간 끄는 자가 죄인 출처 한국일보 네이버 뉴스 EMk19hDfhV JywHPpUoH9
798,안철수 비교섭단체 심판론 꺼내들며 여야에 쌍특검 압박 ZBGLOG0EJm
800,손꾸락지 뿌러지겠다 메타뻘스 그만하고 전쟁 합시다 안철수 尹 李 동시특검 촉구 특검법 국민의당 정의당이 평가 출처 머니투데이 네이버 뉴스 QW9jqoq43D
802, 국민이 우려하는 것은 후보는 특검을 수용하겠다고 해놓고 소속 정당은 특검 수사대상과 범위 특별검사 추천방식을 놓고 지루한 줄다리기로 시간을 질질 끄는 이중 플레이다 이는 후보는 착한 역 정당은 나쁜 역을 맡는 전형적인 굿_캅 배드_캅 전략이다 안철수 20211121 ZUaa8FFe1D
804,깨끗한자 똑똑한자 강철수 안철수 쌍 특검법안 촉구 및 중재안 제안 출처 데일리안 네이버 뉴스 oIfQ4pVMO6
805,쌍특검 받아라 도둑놈들아 안철수 여야 특검법 제정 검사 추천 서로 맡겨야 출처 YTN 네이버 뉴스 D2pZiBG8jY
806,안철수 대장동 고발사주 쌍특검 하자 비교섭단체 중재안도 제시 출처 헤럴드경제 네이버 뉴스 wqqB5yMYGX
809,사견이지만 오늘 안철수 후보의 중재안에 대한 민주당의 반응을 보면 이재명 후보가 특검을 진정으로 수용한 것인지가 정확하게 확인이 될 겁니다 한마디 토 달지 않고 그렇게 하겠다고 하면 조건없는 특검 수용이지만 그게 아니라 민주당이 국민의힘과 조속히 논의에 착수하겠다고 하면 아시죠 
810, 안철수 쌍 특검법안 촉구 및 중재안 제안 책임 있고 떳떳한 후보라면 특검법안의 조문 하나하나 유불리를 따지기보다는 대통령 선거전에 의혹을 해소하는 것이 자신의 명예를 위해 더 중요 국회는 특검법 논의를 시작하여 연말 전에는 수사 착수가 빠르게 이루어게 해야 ku475p1c7r
812,안철수 尹 李 동시특검 촉구 특검법 국민의당 정의당이 평가 이 아이디어도 좋은데 더러운민주당 180석이 동의를 해주겠나 wMRYMGoE1J
813,쌍특검 받아라 양당 쌍적폐들아 LH때도 특검 합의하고 쌩까더니 이번에도 쌩까냐 구린게 많냐 안철수 비교섭단체 심판론 꺼내들며 여야에 쌍특검 압박 jHUTmGTaD0
814,쌍특검 거부하는 자가 범인이다 다시한번 안철수 안철수 여야 특검법 제정 검사 추천 서로 맡겨야 출처 YTN 네이버 뉴스 D2pZiBG8jY
815,당당하면 쌍특검 받아라 찌질이들아 안철수 여야 쌍특검 법안 논의 착수하라 4정당 참여하는 중재안 제안 출처 아시아경제 네이버 뉴스 zlGpqVSvWX
816,안철수 대장동 고발사주 쌍특검 제안 거부 정당이 범인 안철수 대장동 정의당 고발사주 yvFbqUfWgN
820,안철수는 고발사주건에 대해 뭘 알고 쌍특검을 하자고 하는거임 고발사주에 대해 윤석열 무혐의 결론 나올거라고 기사 떴던데
824,후보는 착한 역 정당은 나쁜 역을 맡는 전형적인 굿 캅 배드 캅 전략이다 만약 두 후보 모두 이런 치졸한 술수를 염두에 놓고 특검 수용을 말했다면 이는 진실규명을 가로막는 국민 우롱 행위로 국민적 지탄을 면치 못 할 것 안철수
825,안철수 尹 李 동시특검 촉구 특검법 국민의당 정의당이 평가 정치가 바로 서려면 청와대가 깨끗해야 한다 청와대가 깨끗하려면 여야를 불문하고 대통령 후보들이 비리 소지나 의혹이 없어야 한다 만약 있다면 확실하게 털어야 한다 0ChVynflCm
827,안철수 尹 李 동시특검 촉구 특검법 국민의당 정의당이 평가 출처 머니투데이 네이버 뉴스 Re6J8G08m6
828, 기자회견 안철수 대통령 후보 기자회견 쌍 특검법안 촉구 및 중재안 제안 LIVE oNTqh7ImjY
830,안철수 이재명 윤석열 모두 특검 중재안 출처 데일리안 네이버 뉴스 UviAwYzPkb
834,안철수 쌍 특검 촉구 출처 뉴스1 네이버 뉴스 SViSpq93jy 8x2fd310ZO
835, 포토 안철수 쌍 특검법안 촉구 및 중재안 제안 기자회견 bh8rDSjf2l
836, chang301411 민주당하고 구김당이 서로 특검 안받으려고 짜고치는 고소톱이에요 하려는 척 국민들 눈속임만 하고
837, 안철수 안철수 대통령 후보 기자회견 쌍 특검법안 촉구 및 중재안 제안 LIVE OfYaKyTsrr 8 20에 시작됩니다 
838,안철수 말대로 수사받고 있는 상태로 국민들을 투표장으로 가게 하는 건 국민들에 대한 최소한의 도리도 안지키는거지 이재명 윤석렬 최소한의 양심이라도 있으면 특검 받으라구 뻔뻔이들아 QGYMM8VueO
839,방금 기자회견에서 안철수 현재 이슈인 특검 중재안 제시 핵심은 민주당과 국힘당은 서로 상대방의 특검안을 교차 제시하고 국민의당과 정의당은 공동으로 서로의 법안의 최소의 정당성을 확인하는 절차를 거친 후 수용할 것 
845, 안철수 안철수 대통령 후보 기자회견 쌍 특검법안 촉구 및 중재안 제안 LIVE Q0EFsgIwEF 출처 YouTube
848, 1aLqtZVFS9 링크 클릭 안철수 대통령 후보 기자회견 LIVE 쌍트컴법안 촉구 및 중재안 재안 잠시 후 11시에 시작합니다 안철수 특검 기자회견 생중계 쌍특검법 f3iEpD4514
849, 안철수 안철수 대통령 후보 기자회견 쌍 특검법안 촉구 및 중재안 제안 LIVE su9yPKJyDS YouTube 11시에 합니다 
870, 메타벌스 안철수 대통령후보 11시에 쌍특검관련 기자회견를 합니다 그러기전에 지금 우리 폴리버스 에서 마당을나온아재님과 40대분과 열띤 토론중입니다 말씀을 요약하면 단일화 없이 가야만 이 나라가 위기를 벗고 경제 도약을 할 수있다는 대세론이다 즉 정권교체만 목적 되선 안된다는것
1055, 국민의당 11 21 일 일정 추가 안철수 대통령 후보 11 00 기자회견 lt 쌍특검법안 촉구 및 9 재안 제안 gt 국회본청 225호 16 00 선을 넘다 대한민국 혁신논쟁 북콘서트 부산대학로 파나카B 부산광역시 금정구 금정로 94 DMZ는 Dream MZ 의 약자로 대한민국 미래를 함께 논의하는 Sz2W3TNCAD
1066, 국민의당 11 21 일 일정 _추가 안철수 대통령 후보 11 00 기자회견 lt 쌍 특검법안 촉구 및 중재안 제안 gt 
1068, 국민의당 11 21 일 일정 _추가 안철수 대통령 후보 11 00 기자회견 lt 쌍 특검법안 촉구 및 중재안 제안 gt 국회본청 225호 16 00 선을 넘다_대한민국 혁신 논쟁 DMZ 북콘서트 안철수 후보의 11 00 일정이 추가되었습니다
1208,오늘의 금 시세 11월 20일 오늘의 국제 금 시세 오늘의 국제 석유 시세 오늘의 미국 주식 시세 다이아몬드 시세 에메랄드 시세 쌍특검 V 3 안철수 출처 국가보석감 블로그 127kNrTb2d
1275, 문화예술의전당 안철수 이재명 조건부 특검수용은 안 받겠다는 말장난 즉각 특검 수용하라 VLWyFk0O60
1454, 뉴스하이킥 안철수 이준석 자기가 흔들거리면 가만있는 상대가 흔들려 보여 다음 뉴스 YsrUHApcWz 이재명 윤석열 도덕성 문제 있어 대선 전에 진실 밝혀야 쌍특검 국민들을 위한 진실 규명이 도리 표 분산 때문에 합당 국민께 무례한 태도
1511,둘 다 조건없이 특검 받아 국민들에 대한 최소한의 예의니까
1553, chang301411 윤석열씨 공짜 먹다 체한다 혼자 체하면 괜찮은데 나라가 체하면 안되는 거지 이번에 사퇴하고 자신의 부족한 부분은 남의 머리 빌려쓴다는 뻘 소리 그만하고 한 5년만 당구하고 술 끊고 모르면 안철수에게 묻고 해서 열심히 공부한 후에 특검받고 문제 없다 판결이 나면 그 때 한 번 도전하자구 
1578,매일경제 MBN 대선 관련 여론조사결과 지지율 윤석열 47 7 이재명 33 3 쌍특검 찬성 47 6 당선 가능성 윤석열 52 2 이재명 37 6 심상정 2 4 안철수 2 2 지지 정당 국민의힘 39 1 더불어민주당 27 2 국민의당 7 9 열린민주당 5 5 정의당 4 8 oudjmAIT3g
1595,윤석열 대장동 특검하라 이재명 특검 반대 안철수 쌍특검으로 의혹 해소 이재명 검찰수사후 미진하면 특검 윤석열 조건없는 쌍특검하자 이재명 고발사주 부산저축은행도 특검 대상 윤석열 물타기 말고 할테면 하라 시간순서로 정리 이제 어디로 도망갈래 2fhAOiOz3o
1830,지랄들 한다 니네가 뭔데 단일화 여론조사 하고 지랄이냐 안한다고 했는데 이게 정상적인 조사냐 똘아이들 아니냐 MBN 여론조사 대장동 고발사주 동시특검 47 6 안철수 윤석열 단일화 42 9 출처 MBN 네이버 뉴스 sIJnSJEjn0
1837, MBN 여론조사 대장동 고발사주 동시특검 47 6 안철수 윤석열 단일화 42 9 출처 MBN 네이버 뉴스 yqzAtRb3Fe
1860, MBN 여론조사 대장동 고발사주 동시특검 47 6 안철수 윤석열 단일화 42 9 다음 뉴스 eTBcezyq9D MBN이 실시한 여론조사에서 대장동과 고발사주를 동시특검하자는 여론이 47 6 로 나타났습니다 한편 안철수 윤석열 단일화 여론은 42 9 로 나타났습니다
1922, 윤석열 47 7 이재명 33 3 국민 47 6 쌍특검 심상정 정의당 후보 4 7 안철수 국민의당 후보 3 7 김동연 전 경제부총리 1 8 였다 5zSLctXwAY 새로운물결 기회공화국 기회가강물처럼흐르는나라 아래로부터의반란 공무원개혁 ErMMDUaU2m
1924, 윤석열 47 7 이재명 33 3 국민 47 6 쌍특검 심상정 정의당 후보 4 7 안철수 국민의당 후보 3 7 김동연 전 경제부총리 1 8 였다 5zSLctXwAY 새로운물결 기회공화국 기회가강물처럼흐르는나라 아래로부터의반란 공무원개혁 NVqoAcqlfT
1926, 윤석열 47 7 이재명 33 3 국민 47 6 쌍특검 심상정 정의당 후보 4 7 안철수 국민의당 후보 3 7 김동연 전 경제부총리 1 8 였다 5zSLctXwAY 새로운물결 기회공화국 기회가강물처럼흐르는나라 아래로부터의반란 공무원개혁 ZGfu26bp5k
1928, 윤석열 47 7 이재명 33 3 국민 47 6 쌍특검 심상정 정의당 후보 4 7 안철수 국민의당 후보 3 7 김동연 전 경제부총리 1 8 였다 5zSLctXwAY 새로운물결 기회공화국 기회가강물처럼흐르는나라 아래로부터의반란 공무원개혁
3085,요소수가지고 기분나쁠 수도 있는데 김건희 이력위조를 김미경교수와 등치시키던 윤빠들 있었는데 그거가지고는 충격안받았나 안철수 룸싸롱이 쌍특검하며 같이 특검할 거리라던 윤빠에게는 멸종위기의 븅신 소리하며 안지지자 조롱라고 욕하던 윤빠에게는 충격안받나 웃기고 자빠졌네
3266, 노컷뉴스 안철수 靑이철희 만나 쌍특검 제안 국민들 혼란스럽다 iVN7r0JP6D
3267,文 축하 난 받고 쌍특검 건의한 안철수 JPbRu4w23K
3269,안철수 쌍특검 진행해야 이철희 선거개입될까 언급 주저 yUwZ2hPAfb 이철희군 많이 성장 했네 뭐 약 2Cm 큰건가 1 9Cm 
3366,안철수 靑 대장동 고발사주 쌍특검 진행해 주길 출처 한국경제 네이버 뉴스 ZDWW4sUihD
3400,안철수 후보 이철희수석을 통해 청와대의 축하란을 받은 자리에서 대통령께 법무부 장관을 통해 쌍 특검을 지시해 줄 것을 요청 lt TV조선 신통방통 gt 패널들 반응은 특검은 물건너 갔다는 반응 국힘 지지율에 취한것 같네요 비슷하면 게거품 물고 특검하자고 난리쳤을 텐데 6exzcaWmC2
3420,이투데이 안철수 문 대통령 향해 쌍특검 요구 이철희 선거 개입이라 주저 쌍방이 모두 빋는데 무슨개소리 라고라 정치검찰만 활용하려고 7NQRhAR1lC GoogleNews을 를 통해
3461, 문화예술의전당 안철수 이재명 조건부 특검수용은 안 받겠다는 말장난 즉각 특검 수용하라 VLWyFk0O60
3617,윤석렬 먼저 특검 받아 그러면 막산이도 따라 받겠지 안될 쌍특검만 외치지 말고 먼저 모범을 보이라구 그럼 막산이도 안받을 수 없을거잖아 윤석렬 특검 먼저 받으라구
3624,안철수 靑 대장동 고발사주 쌍특검 진행해 주길 i22evsZmAf
3670, 현장영상 대통령 축하 난 받고 쌍특검 제안한 안철수 이철희 선거 개입될까 언급 주저 JTBC News Et4fN1hyIE YouTube
3704,文 축하 난 받고 쌍특검 건의한 안철수 출처 아이뉴스24 네이버 뉴스 JyG0vmXcBF
3718,안철수 靑 대장동 고발사주 쌍특검 진행해 주길 출처 한국경제 네이버 뉴스 l1CqaAu5Dt
3720,안철수 靑 대장동 고발사주 쌍특검 진행해 주길 출처 한국경제 네이버 뉴스 s7wMgcET4L
3724,덕담하는 자리에서 이런 빙신같은 소릴 하니 그 좋던 정치적 자산 다 잃고 지지율 3 지 모지리 초딩아 그래도 분발해서 꼭 완주해라 안철수 쌍특검 진행해야 이철희 선거개입될까 언급 주저 다음 뉴스 xM4UJhIUSI
3737,안철수 靑 향해 여야 후보 특검 신속히 진행해달라 출처 YTN 네이버 뉴스 8EuXjWwTmu 특검법상 국회의 동의 없이도 법무부 장관이 특검을 진행할 수 있다며 진실이 밝혀지지 않은 채로 국민이 투표장에 가게 해선 안 된다 
3738,안철수 文대통령 쌍특검 제안을 이철희 선거 개입 출처 뉴시스 네이버 뉴스 7koA6d9CCj 안 특검법에 의하면 국회 동의 없이도 법무부 장관이 의견을 들어 특검을 진행할 수 있다 
