,tweet
267, TheBlueHouseKR 국민과의 대화 에서 문재인이 뭐라고 지껄였기에 문재인이 거짓말을 하는 걸까 아님 참모들이 눈과 귀를 가려서 바지사장이 된걸까 저런 모지리가 국가원수라니 인터넷도 안보나 이재명 지지율 더 폭락하겠네 등등 난리 역대 최악 대통령은 투표에서 문재인이 80 이상의 표로 압도적 1위 
269, TheBlueHouseKR 국민과의 대화 에서 문재인이 뭐라고 지껄였기에 문재인이 거짓말을 하는 걸까 아님 참모들이 눈과 귀를 가려서 바지사장이 된걸까 저런 모지리가 국가원수라니 인터넷도 안보나 이재명 지지율 더 폭락하겠네 등등 난리 역대 최악 대통령은 투표에서 문재인이 80 이상의 표로 압도적 1위 
271, iiinnnggg333 아수라이재명보단 백배 나은 인물이고 국민재산 뺏어서 자기 측근 배불린 이권카르텔 척결할 최적의 후보임에 이견이 없다 가붕개들 정신챙기시라 11up9lCjLa
274, TheBlueHouseKR 국민과의 대화 에서 문재인이 뭐라고 지껄였기에 문재인이 거짓말을 하는 걸까 아님 참모들이 눈과 귀를 가려서 바지사장이 된걸까 저런 모지리가 국가원수라니 인터넷도 안보나 이재명 지지율 더 폭락하겠네 등등 난리 역대 최악 대통령은 투표에서 문재인이 80 이상의 표로 압도적 1위 
281, Jaemyung_Lee 국민의 생명과 안전을 빌미로 중소기업을 약탈하고 일자리를 죽이는 K인증 제도를 개혁하여 보수정권이 자충수에 빠져 괴멸되게 하여야 합니다 9uLXK1aER9
282,누가 진정으로 국민을 위하는 사람일까요 생리대 가격이 오르자 저소득층 애기들이 수건이나 신발깔창 휴지로 대신하고 있다는 소리 듣고 바로 예산 편성해서 실시함 xwjyJR6HMK 이재명 성남시장 저소득 청소년 생리대 지원사업 하겠다 
285, patriamea moonriver365 TheBlueHouseKR TheMinjoo_Kr 국민과의 대화 에서 문재인이 뭐라고 지껄였기에 문재인이 거짓말을 하는 걸까 아님 참모들이 눈과 귀를 가려서 바지사장이 된걸까 저런 모지리가 국가원수라니 인터넷도 안보나 이재명 지지율 더 폭락하겠네 등등 난리 역대 최악 대통령은 투표에서 문재인이 80 이상의 표로 압도적 1위 
288, 새로운 1일차 이재명 후보의 사과로 시작한 전국민선대위 a0vGQHxlcT
289,이재명이든 윤석열이든 내게 청렴 단장 맡기면 도와드리겠다 모든 의혹 불식 시켜서 국민 심판 제대로 받아 새 정권 출 범에 큰 도움드리겠노라
303,외부인사 영입으로 중도층 확장과 영역별 싱크탱크가 구성되어야 하는데 영입이 전혀 안되고 있다 의원당 3명씩 할당한다고 될 일은 아니고 근본적인 원인은 이재명에 대하여 국민들이 마음의 문을 닫았음을 의미한다 조직은 어떻게 했다지만 정부 준비는 국정운영 철학과 비전이 통해야 된다 
