,tweet
983, TheMinjoo_Kr 이재명_절대_안찍어 이낙연으로_후보교체하면_대선승리한다 MJn5WwVSEU
995, TheMinjoo_Kr 네네 이번에도 박수로 통과됐겠죠 더불어박수당 이재명_절대_안찍어 이낙연으로_후보교체하면_대선승리한다
1000, YoungpyoHong 의원님 많이 힘드시죠 마음에도 없는 얘기하려니까요 조금 더 있다 때가오면 나서주실거라 믿습니다 이재명_절대_안찍어 이낙연으로_후보교체하면_대선승리한다
1021, TheMinjoo_Kr 썩은술 맞자나 찔리나부네 이재명_절대_안찍어 이낙연으로_후보교체하면_대선승리한다
1277, jktjj 꼴값들하네 후보교체 없으면 윤석열로 그래야 이재명 죄상 밝히지 절대_이재명은_안찍는다
1435, Pink12141 gksksla1007 이재명 대신 이낙연이 나가야 윤석열 이기니까 이낙연으로_후보교체하면_대선승리한다 ilzN7fO7I1
1447, YoungpyoHong 적폐 정치꾼들 집단은 여당이나 야당이나 한치도 다름이 없다 홍영표 의원은 이재명이 윤석열 보다 낫다고 생각하시오 후보교체 안되면 윤석열 찍을거요 그래야 이재명 죄상을 밝히지 이재명 180석 무슨 짓을 할지 생각만으로도 아찔 하네요 절대_이재명은_안찍는다
1468,문대통령 민주당 이낙연 지지자인 척 하면서 민주당 이재명을 비난하는 트윗 뿐이다 후보교체하라고 하는데 실제로 이낙연이 지지자는 아닌 것 같네요 윤석열을 지지하는 앞잡이들로 정권을 교체하여 문대통령을 감옥에 가두는 것이 목적 같네요 여태까지 이 계정의 트윗을 보고 판단하세요 
1473,문대통령 민주당 이낙연 지지자인 척 하면서 민주당 이재명을 비난하는 트윗 뿐이다 후보교체하라고 하는데 실제로 이낙연이 지지자는 아닌 것 같네요 윤석열을 지지하는 앞잡이들로 정권을 교체하여 문대통령을 감옥에 가두는 것이 목적 같네요 여태까지 이 계정의 트윗을 보고 판단하세요 
1492,이재명 지지율 올랐지만 민주당 내부선 여전히 우려 다음 뉴스 4bMXMSelRo 사사오입 철회하고 결선하든지 아님 이재명 사퇴시키고 이낙연으로 후보 바꾸면 됨 후보교체 
1550,다수 언론은 민주당 이재명 대선 후보교체론 내보냄 9dDnJSYrKm
1614, TheMinjoo_Kr 난_공범_안해 이재명너무싫어 이재명_절대_안찍어 이재명_진짜_싫어 이낙연으로_후보교체 이낙연으로_정권_재창출 이낙연으로_후보교체
1632, 78youandme 민주당에 민주당 색깔 빼고 이재명 색으로 맞추면 굳이 국민들이 민주당을 지지해야할 이유가 있냐 파란색의 민주당이라서 김대중 노무현 문재인대통령님들의 발자취가 느껴지는 민주당이라서 지지하는건데 민주당적통_이낙연으로_후보교체하라 1NP8EU1Rrd
1639,더불어범죄당을 찢이 점령했구나 여니님은 신당 창당하셔야겠다 이인제방지법이고뭐고 방법이 없음 만들어서라도 해야지 저년놈들 꼬라지 더 보고있다간 지레죽겠다 이재명_절대_안찍어 후보교체_이낙연으로
1697,이재명 캠프 SNS 174명 계정30 이재명 언급 없음 대부분이 이낙연 캠프였던 사람들임 의도적이거나 관심이 없는것으로 보임 이낙연 또한 이재명에 대한 언급 일절 없으며 개인 의정 활동만 SNS 올리고 있음 대선 후보교체 원하는 군산시에 있는 이낙연 도깨비 지지자모임 참석 연설함
1794, YoungpyoHong 아무리 그래도 이재명과 윤석열이 붙으면 윤석열 승입니다ㆍ 후보교체해야 민주당 승리할수 있습니다 수십년 민주당 지지자인 우리집만해도 이재명은 절대 안찍어줍니다ㆍ 기권도 안합니다ㆍ 이재명 떨구수있다면 역선택 무조건 합니다
1833,민주당에 민주당 색깔 빼고 이재명 색으로 맞추면 굳이 국민들이 민주당을 지지해야할 이유가 있냐 파란색의 민주당이라서 김대중 노무현 문재인대통령님들의 발자취가 느껴지는 민주당이라서 지지하는건데 민주당적통_이낙연으로_후보교체하라 iguwgULOHq
1847,민주당은 썩은 술 이재명을 음식물쓰레기통으로 버려야 새 술을 진열할 수 있다 진열장에 썩은 술 진열해 놓고 국민들에게 구매하라고 하는 것은 악덕 부정식품 유통자다 폐업처분 받아야 하고 썩은 술 유통시킨 민주당 송영길과 지도부는 처벌 받아야 한다 민주당_후보교체 민주당_지도부총사퇴
1872, Pink12141 이재명 대신 이낙연이 나가야 윤석열 이기니까 이낙연으로_후보교체하면_대선승리한다 0nOeyE6oDZ
1938, kihad 여니님 후보교체를 위해서라도 당비 천원을 내는 한이 있더라도 계속 권당을 지키는게 우리로서 더 이익입니다 이재명이 권당으로 선거운동을 하는 꼬라지가 열받더라도 당장 눈 앞의 분노 때문에 일을 저지르다 더 큰것을 잃는것보다 인내하며 버티며 큰것을 얻는 지혜가 필요합니다 
1974,내일은 데일리안 그론조사그정의 응답률 5 5 짜리 림가중 ARS 조사가 공표되오니 문파님들의 이재명 폭망 후보교체론 발작트윗에 주의하시기 바랍니다 KlFnsxz1Mf
2048,난 문재인의 민주당을 지지한다 난 이재명의 민주당을 반대한다 문재인대통령님_감사합니다 이재명_특검하라 이재명을_거부한다 이재명_절대_안찍는다 이재명_대장동게이트_특검 정진상_소환수사하라 송영길_탄핵 이낙연으로_후보교체해야_대한민국이산다 tA1hpRZcxF
2058, cloud_hyeon_J 지금 시간이없습니다 윤석열과 이재명을 막을려면 홍준표신당과 이낙연신당이 답입니다 만약시행하지않으면 홍준표도 이낙연도 야인으로 돌아갑니다 국민을 위하고조국통일을 위하여 프랑스처럼 국민의 혁명이 필요합니다 더민당과 국민의힘은 절대 후보교체 안합니다 결단이필요합니다 
