,tweet
2757,이재명의 부인 김혜경씨 지지층이라ㆍㆍㆍ흠 두 아드님 학생때 학부형들과 반 친구들의 어머님들이 지지층인건가요 선생님 뺨을 후려갈기셨다던데 그것도 아이들 앞에서 아님 말고지만 아니어도 세상에 친조카에게 집안의 어른 아니신데요 도 듣는 김혜경씨라니 그러다 이년이 들으면 어쩌라구요 U5vxcKcW7m
2766,이런게 상식적인 부부 아내 김혜경씨가 뒤에서 쓰윽 백허그 이재명 혜경 벨트입니다 다음 뉴스 hqDW7iAQDf
2776,아내 김혜경씨가 뒤에서 쓰윽 백허그 이재명 혜경 벨트입니다 그 벨트 3개월 뒤엔 없어질 거야 blP6d9lzkA
2855,아내 김혜경씨가 뒤에서 쓰윽 백허그 이재명 혜경 벨트입니다 AkV9RtGl3E 캬악 퉤 
2865,윤석열 국민의힘 대선 후보 측에서 배우자 포럼 을 띄우는 가운데 이재명 더불어민주당 대선 후보 측은 선거대책위원회 재정비와 함께 배우자 기획단 설립 검토에 나섰다 윤석열 국민의힘 배우자포럼 배우자 이재명 더불어민주당 김건희 김혜경 20대대선 대선 5pytLLOEjS
2978,요즘 이재명 김혜경 연기레슨받냐 형님 교통사고 소식듣고도 형수님한테 미친x라 하고 옆에선 김혜경이 깔깔대던거 다 들었는데 
3062,이재명 김혜경과 밀착행보 여성 표심 사로잡나 다음 뉴스 szx4G3uHUW
3078,김혜경 백허그 사진 공개한 이재명 내조 힘입었다 다음뉴스 QFjH0aM36V
3084,왜 언론은 이재명의 전과 거짓해명에 대해 펙트체크 기사를 쓰지 않는가 이재명의 형과 형수에 대한 거짓해명을 펙트체크 하는 기사를 쓰지 않는가 김혜경에게 부어진 국민들 세금에 대해 펙트체크 기사를 쓰지 않는가 한도 끝도 없지만 우선 저 세가지로 시작하자 
3322,넘어질 정도 도 아니고 좌판생선에 옷데일까봐 한거지 이재명이 올린 아내 백허그 사진 전면 나선 김혜경 Um57iaIhKq
3347,아내 김혜경씨가 뒤에서 쓰윽 백허그 이재명 혜경 벨트입니다 hkuUPqT8y0
3356,김혜경 백허그 사진 공개한 이재명 내조 힘입었다 다음뉴스 TZe8hL1dqb
3379, 생방송 이재명 김혜경 부부 초등학생과 국민반상회 충남 보은 판동초등학교 3oj9DRFSAR 출처 YouTube
3416,조카와의 음성파일 올리면 게임 끝 이재명 후보 여성 지지층 타깃 배우자 기획단 띄우기로 이재명 측은 선대위 재정비와 함께 배우자 기획단 설립 검토에 나섰다 22일 정치권에 따르면 민주당 선대위는 이 후보 부인 김혜경씨를 SkYf28cuNx
3438,김혜경 백허그 사진 공개한 이재명 내조 힘입었다 다음뉴스 tZOMCQj9hN 김혜경 여사도 참 강하고 무게감 있다 이재명이란 정치인이 참 굴곡 많고 검찰과 언론이 물어뜯은 사건 많았는데 그 아내가 가정 잘 지키고 저리 남편 내조 잘 한 거 보면 그 정신의 내공이 상당할 듯 
3499, 김혜경 백허그 사진 공개 이재명 여성 표심 잡을까 출처 MBN 네이버 뉴스 Nj8326PmEA 누굴 알기를 개돼지로 아나 뭘해도 가식같 
3508, 이재명 후보 여성 지지층 타깃 배우자 기획단 띄우기로 출처 미디어오늘 네이버 뉴스 9pEmW0uH8H 22일 정치권에 따르면 민주당 선대위는 이 후보 부인 김혜경씨를 전면에 내세우기 위한 배우자 기획단 설립을 추진 중이다 
3620,김혜경 백허그 사진 공개한 이재명 내조 힘입었다 다음 뉴스 rM0eYiNNAi
3665,이재명 부인 김혜경씨 낙상사고 12일 만에 첫 선거 동행 나섰다 wIKyNIwiRO
3720,이재명본처가 김혜경이가 애첩첩년같냐 징그러 이재명은성행빨도못받고 골값
3749,이재명 후보 부인 김혜경 낙상사고 12일 만에 선거 유세 동행 나섰다 wIKyNIwiRO
3842,이재명씨는 그 입에 여성과 관련된 그 어떠한 단어도 담지 마세요 불결하고 더럽고 구역질 납니다 형수님께한 그 쌍욕 이쁜 마눌 김혜경씨를 두고 불륜을 저지른것 두가지만으로도 이재명씨는 감히 그 더러운 입에 여성과 관련된 그 어떠한 단어도 담을 자격이 없습니다 ehRnAS7eTi
3876,이재명이 위기에 봉착할 때마다 누르는 탈출버튼이 두 개가 있음 이 버튼은 당내 경선에서 제대로 작동했지 첫째는 본류와 상관없는 지엽적 싸움으로 물타기 둘째는 악재가 터지면 어김없이 이재명 지지율이 올라가는 여론조사 등장 김혜경으로 버티면서 두 번째 버튼 동시에 누르는구만 
4062,이재명은 김씨 여자만 좋아한다 마누라 김혜경 불륜 김현지 이미 언론에 보도된 기사임 불륜 김부선 이미 언론에 보도된 팩트임 이게 법을 어겼다며 중앙선거관리위원회 이름으로 트윗터 본사에 삭제를 요구한 이재명 측의 잔머리다 
4236,이재명 대선후보 김혜경 여사의 백허그 아내분들 남편 내조 잘 하시기를 남편님들 마눌님들이 최고여 모든 분들 가정을 잘 지키세요 특히 인천서구 dDpSFkwohc
4336,세기의 철면피와 이재명씨 부인 김혜경 nGTuqmFVdu
4350, imuamen 김혜경 전화로 이재명이 한 것은 아닌가요 녹취가 떴다는건가요 전화번호가 떴다는 건가요 
4410, 뉴시스Pic 이재명 민주당 대선 후보 부인 김혜경 씨와 청주 방문 다음 뉴스 t3FgIc6PpI
4437,요즘 배우자 리스크가 어떻다 저렇다 하던데 난 이재명 부부는 세속적인 보통 범주로 보여 김혜경도 그렇고 근데 윤석열 부부는 김건희도 그렇고 
4554,요즘 이재명이 김혜경이 부부애를 돋보이려 발악을 하고있다 근데 내눈에는 완전 쇼로밖에는 안보인다 왜 너무 과하게 언행을 하기 때문이다 쇼 그만 하쇼 
4639, 소심한 초딩인성 양아치 이재명 부인 김혜경 뚝배기 사이코패스 자살 봉화산 MfYuZGaWpt
4664,이재명 청주서 국민의힘과 윤석열 원색적으로 비난 국민의힘은 이렇게 뻔뻔한 집단을 본 적이 없다 윤석열은 국정은 아무것도 모르고 증명된 실력이 없다 jPwTPZgYHy 청주시 이재명 이재명더불어민주당대선후보 육거리시장 부인김혜경
4713,이재명이 올린 아내 백허그 사진 전면 나선 김혜경 2pwpmwiahD
4772,이재명의 모든 것 퍼펙트스톰 앞에 섰다 제주대 이상이교수 김혜경의 눈물 세상을 잘못 읽은 윤석열의 3金 Pick A급 대깨문쇼 김 BakSnFgyWX YouTube
4839,김혜경 눈물 까지 이재명 현충원 참배 北도발 용인 않겠다 출처 이데일리 네이버 뉴스 qZ9YYd6POR 재미있는 부부에요 
4925,이재명 후보 넘어지실까 봐 빽허그로 내조하시는 김혜경 여사 대한민국대전환 이재명은합니다 7XRPbfVZai
4940, 이재명의 열정 윤석열은 절대 하지 못하는 즉흥 연설 이재명은 합니다 김혜경 여사와 함께 청주 육거리시장 연설 교차편집 e6MMdw4s19 출처 YouTube
5008, 단독 대장동 의혹 편파 발언 김어준 선거방송 제대로 하라 방심위 지적 mKAV9xiVvX 이재명김혜경이해찬송영길추미애안민석박주민김어준김용민이동형은 반드시 감옥에 가야 됨 
5158, Jaemyung_Lee 이재명 후보님 건강 꼭 챙기세요 김혜경 여사와 함께 공개 행보를 많이 해 주세요 응원합니다
5232,이재명 초등학생 3시 동시하교제 추진 부모님 걱정 덜겠다 뭐 이런 돌대가리가 있을까 김혜경은 백수라서 모른대 Yi9yqXkg6d
5308, 이재명의 열정 윤석열은 절대 하지 못하는 즉흥 연설 이재명은 합니다 김혜경 여사와 함께 청주 육거리시장 연설 교차편집 iKVq9Zpop8 YouTube
5346,이재명 김혜경 부부 보은 재래시장 장보기 EoAHXMbAgU via YouTube
5494,더불어공산당 찢어지는 소리가 들린다 달님은 영창으로 찢님은 감빵으로 이재명 특검은 언제 시작하냐 김혜경이랑 전국 돌아다니는 거 별개로 특검 좀 하라고 민주당 지도부에 압박 좀 넣어봐 특검 문제에 대해서는 유독 민주당이랑 엇박자더라 일부러 그러는 거여 s8odkyqbEd
5532, ydkRSJ21JL 윤석열 의 선거법 위반에 이재명 왕이냐 통쾌 이재명 야구 직관 윤석열과 너무 비교되네 오늘 이재명 후보는 김혜경 여사와 함께 프로야구 한국시리즈가 열리는 고척구장을 찾았습니다 김혜경 여사는 낙상사고 9일만에 첫 외부 공개일정에 나선 것입니다 
5600,부부 조폭 VS 부부 머슴 1 부인을 보면 남편 정치인의 미래가 보인다 2 부동산투기 전문가 사기꾼 룸쌀롱마담 아내둔 후보자 먹구름 암담 3 몰래 세월호 유족현장 찾아 설겆이 당번한 김혜경의 남편 이재명 후보 국민머슴 국민 부부머슴가장 신뢰 
5628, 충북의 딸 김혜경 왔다 이재명 연일 부부동반 애정과시 행보 0MMlnLn793
5677,이재명 성남시장 부인 김혜경 동아닷컴 n0dh303pvm
5689, 뉴시스Pic 이재명 민주당 대선 후보 부인 김혜경 씨와 청주 방문 다음 뉴스 ALxg1tSOLp 발정나서 집나간 쥴리를 찾습니다 
5695,유비가 눈물을 훌릴때마다 땅덩어리가 한뼘씩 늘어 촉나라를 이뤘다더만 애네들도 허구헌날 눈물타령이네 어려웠던 큰 아들 수능날 울었다 이재명 부인 김혜경씨 공개행보 늘리는 이유는 다음 뉴스 s1omFNEO2l
5787,충북 보은 판동초등학생들 기본소득을 주제로 반상회를 진행중인 이재명 김혜경 인상봐라 애들 놀라서 식겁하겄다 fxIQbsqhT3
5851, 충북의 딸 김혜경 왔다 이재명 연일 부부동반 애정과시 행보 다음 뉴스 Tahnu0ABul
5858, 뉴시스Pic 이재명 민주당 대선 후보 부인 김혜경 씨와 청주 방문 다음뉴스 aQOhZhjFvQ
5888,진짜 말 그대로 꽉 차버린 이재명 김혜경 방문 청주 육거리 시장 Nw7VIN797b 출처 YouTube
6056,요즘 이재명 김혜경 비쥬얼이 왜이리 좋아졌냐 연예인 코디를 고용했나 
6066, 어려웠던 큰 아들 수능날 울었다 이재명 부인 김혜경씨 공개행보 늘리는 이유는 CoTwPo5bQW
6078,진짜 말 그대로 꽉 차버린 이재명 김혜경 방문 청주 육거리 시장 WoXntqVT3K
6166, 꽃다운 청춘인데 이재명 연평 전사자 묘역 참배 김혜경은 눈물 url cdzBURdYqz
6195,이재명 후보 부인 김혜경씨 낙상사고 후 첫 공개석상에 8iw9yeRVh4
6228,김혜경 참 이상하네요 애정결핍도 아니고 그냥 이재명 몸에 손이 붙어서 ㆍㆍㆍ 진심 그녀의 속마음이 궁금해지는 이재명의 허리를 감싸안은 저 손 ㆍㆍㆍ 흠 qrZPPYKblJ
6274,낙상사고 후 첫 모습 드러낸 김혜경씨 이재명과 현충원 찾아 눈물 다음뉴스 OEdbUED621
6279,저렇게 눈물을 흘리는 것들이 성남시장 시절에는 장애인들을 시청에서 내쫓고 형에겐 욕설을 형수에겐 보 찢는다는 욕을 해대고 음주운전 검사사칭 기물 파괴 등의 전과를 가진 거구나 이재명 김혜경을 보면 이중적인 인격이 보이는 건 나뿐인가 VWdxunrx5k
6379,명심캠프 김혜경 아들 고민 많아 집서도 이런 시간을 이재명 나랑 안 놀라 그러잖냐 url yA6oxGN9O6
6389, 어려웠던 큰 아들 수능날 울었다 이재명 부인 김혜경씨 공개행보 늘리는 이유는 csq01xRy8J 감성팔이 불쌍한 척 딱 앵벌이 수준 
6498, 충북의 딸 김혜경 이재명과 찰떡행보 눈물 손하트도 다음뉴스 aSgYtVkAih
6502, 충북의 딸 왔다 김혜경 이재명 어깨 손 올려 쓰리샷 도 다음뉴스 utymwsLKDQ
6505, 충북의 딸 왔다 낙상 루머 깬 김혜경 이재명 허리 감싸기도 L9Iy4dlmTh
6514, 어려웠던 큰 아들 수능날 울었다 이재명 부인 김혜경씨 공개행보 늘리는 이유는 다음뉴스 GGoSbZlDgQ
6671, 충북의 딸 왔다 김혜경 이재명 어깨 손 올려 쓰리샷 도 출처 중앙일보 네이버 뉴스 LpNGDnNOaa
6776, 포착 눈물 쏟은 김혜경 예비 퍼스트레이디 행보 다음 뉴스 4SgJEggH5W 이재명은 남탓만 합니다 이재명은 정부탓만 합니다 이재명은 선대위탓만 합니다 이재명은 민주당탓만 합니다 
6943,이재명 충북 사위 말고 충북의 딸이 왔다 김혜경 손하트 도 다음 뉴스 lputju0kR3
7074,이재명 충북의 사위 말고 딸 왔다 尹 충주 대항마는 김혜경 다음뉴스 c1sD5N1t71
7096, 뉴시스Pic 이재명 민주당 대선 후보 부인 김혜경 씨와 청주 방문 xIWLT2zgm0
7153,시간을 돌려 멀리서 보면 잘 안 보이던 게 선명해지기도 한다 지금 이재명 김혜경 하는 꼴을 보니 낙상도 열상도 다 언론 스포트 라이트를 유도한 후 지금같은 그림을 만들기 위한 전주곡이었단 생각이 더 강해진다 대장동 토건비리 뽀록나고 이재명 지가 죽게 생겼는데 마눌도 백번 팔아먹을 인간 
7230, 무혐의 와 무죄 는 다르다 이번 기회에 일독해서 지식을 쌓아 보아요 당시 경찰은 수사에 나선 지 7개월여 만에 혜경궁_김씨 계정 주인과 이재명 부인 김혜경 씨가 동일인이라고 결론냈지만 검찰은 증거 부족을 이유로 무혐의 처분했다 jSIDHQPddG
7433, HbCHt8B8IrYvA5b 이재명마누라 김혜경은 영부인감이고 김영환과 토론회마침 이재명에 앙칼진목소리로 참지마아 라고 말하고 째려보는거나 이재명이 자기 형수와 싸우는 전화너머로 하하하 웃는 악마 웃음소리 지금도 소름돋는다 니말대로라면 차악이 김건희네 
7467,마스크 안쓰고 편의점 들어와서 따귀때리고 내뺀 인간 일단 죄값받고 보너스로 꼭 이재명같은 아들낳고 김혜경같은 며느리 맞이하길 빈다 
7529,살면서 반이재명으로 통일되는게 참신기하다 내주변은 단1명도 이재명지지없음 그냥 싫어하는게아니라 혐오 근데 김혜경 지분크네 이년이 욕설때문에 더싫다는 사람도 많더라
7535, 충북의 딸 왔다 김혜경 이재명 어깨 손 올려 쓰리샷 도 출처 중앙일보 네이버 뉴스 xfiteQR03k
7553,도종환 의원님 의원실 2021 11 20 더불어민주당 이재명 대통령후보가 민생버스 매타버스 를 타고 청주 육거리시장을 방문하였습니다 충주가 고향인 김혜경 여사도 동행하였습니다 TImo1kbTz8
7624, 뉴시스Pic 이재명 민주당 대선 후보 부인 김혜경 씨와 청주 방문 출처 뉴시스 pGlY4a3KHD
7652, 대선 중계실 부인 김혜경 합류에 힘 얻은 이재명 연일 구름인파 광폭행보 ltC4jHgBo8
7752,이재명ㆍ김혜경은 온전히 우리처럼 평범한 느낌이 들어 좋으다 우리사회는 정치인이나 연예인 스포츠스타까지도 어떤 기준을 갖고 본인 기준이 아니면 이를 가짜라고 가식이라고 틀렸다고들 한다 상대를 자꾸 자기틀에 가두려는 사람들 참 지독히도 에고가 강한 민족이다 
7768, 연평도 참배 이재명 北 도발 용인 안해 눈물 흘린 김혜경 정치 네이트 뉴스 m632dbAg3V 대선 후보가 되니 갑자기 북괴가 용인이 안되나봐 여태 아무 말 없더니 
7791, 이재명 공부 2018년 4월 경기도지사 경선때 부터 이른바 혜경궁김씨라는 아이디를 쓰며 문준용씨 취업특혜의혹에 관한 가짜뉴스 전해철장관에 관한 허위뉴스 노무현전대통령에 대한 모욕적 발언 등을 한 계정주가 이재명씨 부인 김혜경씨라고 경찰이 발표했다 jKMO9Zdqcr
7795, 충북의 딸 김혜경 이재명과 찰떡행보 눈물 손하트도 다음 뉴스 dMY03gT2HY
7824,이재명 할 수 없이 전화했어 김혜경과 능청 통화로 애정과시 다음 뉴스 Fyx9bImATe
7848,돌아온 김혜경 이재명 그림자 수행 눈 조금 찢어진 거예요 다음 뉴스 NQtn8nhKIj 내고향 청주네요 
7883,당연히 늘려야 하는 거 아닌가 주가조작 피의자는 못나오는게 당연하지 어려웠던 큰 아들 수능날 울었다 이재명 부인 김혜경씨 공개행보 늘리는 이유는 9c6X6eEptq
7896,더불어민주당 이재명 후보는 연평도 포격 11주기를 앞두고 현충원을 찾아 북한 도발을 용인하지 않겠다 고 했습니다 부인 김혜경씨는 참배중 눈물을 훔치기도 했습니다 이 후보가 충청권 순회를 이어가는 동안 민주당은 긴급의총을 소집해 선대위 개편을 논의했습니다 WXA6YIEyK7
7922, 뉴시스Pic 이재명 민주당 대선 후보 부인 김혜경 씨와 청주 방문 다음 뉴스 6GVj7D9Qqb 이재명이 대통령이 되어야 한다 
7926, 뉴시스Pic 이재명 민주당 대선 후보 부인 김혜경 씨와 청주 방문 다음 뉴스 6GVj7D9Qqb
7976, hanitweet 사과는 필요없어요 부동산 투기업자들에게 화천대유식 천억대 이득을 몰아줬으면 특검을 받고 감옥에 가셔야죠 형수 욕설 김혜경이 자지러지게 웃던 그 파일이 전국적으로 틀어지게 될 날이 얼마 안남았네요 기본소득 기본주택 기본금융 이재명의 정책중에 제대로 된게 있나요 
8006, 충북의 딸 김혜경 이재명과 찰떡행보 눈물 손하트도 다음 뉴스 MgFZ7C4k6L
8037,이게 이재명의 민주당 1성인가 그럼 경기동부 버렸나 정진상 김현지가 있는뎅 성남애들 조폭아니면 경기동부임 연평도 참배 이재명 北 도발 용인 안해 눈물 흘린 김혜경 출처 뉴스1 네이버 뉴스 tWOJyRJIlw
8051,와우 멋쟁이 이재명 대선후보 이재명 후보 패션 돋보이게 하러고 김혜경씨는 톤다운된 의상 연출 내조 최고 최고 5UGfzM1DmF
8052, 뉴시스Pic 이재명 민주당 대선 후보 부인 김혜경 씨와 청주 방문 다음 뉴스 nqxdmpG6lN
