,tweet
3262,법세련 공수처 윤석열 낙선운동 하나 처장 고발 고발과 고소를 남발하는 저런 놈들을 처벌할수 있는 법안을 만들어 가결후 응징 해주기 바랍니다
3547,아침뉴스 기쁜 소식 윤희숙 윤석열 직속 저격팀 전격 합류 이재명 선대위 폐쇄 수순 이준석 또 시작 공수처 윤 한동훈 무혐의 yattHc3fIw
3571,윤석열 후보 측은 연일 공수처에 대한 흡집내기에 몰두하고 있다 공수처에 대한 불신을 부추겨 어떻게든 상황을 모면해 보려는 것으로 보인다 윤 후보의 검사 경험에서 우러나온 것인지는 알 수 없으나 모든 것을 정치공작으로 몰아붙이는 모습은 구차하기 짝이 없다 
3615,경향신문 보도 공수처 금주중 윤석열 한동훈 등 무혐의 될듯 제보사주 의혹 여론 높아질듯 pVnpZQhcga
3626,민주당 박주민과 김용민을 위원장으로 윤석열 일가 부정부패 국민검증 특위 구성 이수진 이게 윤석열식 공정과 상식이냐 검찰은 이정필 검거와 권오수 구속 공수처는 윤석열 직접조사 착수 조성은 손준성은 작년 12월 법정에서 윤석열 지시에 따랐다고 진술했다 0xSW63NzyQ
3666,공수처 고발 사주 금주 결론 관측 윤석열 한동훈 등 무혐의에 무게 공수처의 존재이유가 뭔데 이런 소리가 나오나 0z8NsQkd84
3687,결국 윤석열을 도와주겠다는 공수처 이것들이 국민을 우습게 보는구나 hCkV8sJ1qm
4027,공수처가 윤석열에게 면죄부를 줄 모양이네 여러분 공수처 해체 투쟁에 돌입합시다 YKJ5JfNhFq
4119,공수처 고발 사주 금주 결론 관측 윤석열 한동훈 등 무혐의에 무게 mb대선 직전에 검찰이 다스 무혐의 때려준거 생각나네 이럴꺼면 공수처가 다 무슨 소용 dPIegtO6Tb
4126,윤석열 한동훈을 면죄부 주려고 수사한 것이냐 국민을 바보로 여기는 수사기관 공수처도 마찬가지다 공수처 고발 사주 금주 결론 관측 윤석열 한동훈 등 무혐의에 무게 손준성은 불구속 기소할 듯 19clkL4p3t
4187,공수처 고발 사주 금주 결론 관측 윤석열 한동훈 등 무혐의에 무게 다음뉴스 G0eazH9fIj 이 개검들아 제보사주는 조사 안하냐 이 직무유기 선택적 조사는 반드시 검찰 적폐로 처단 될 것이다 정권교체가 답이다 
4249, 1219corruption 이번기회에 한동훈이가 윤석열 대통령뺫 믿고 문재인 대통령을 공수처에 불러서 원전 사업들으로 망신주기해서 죽여버리도록 합시다 노무현 대통령처럼 보내드립시다 여러분의 이런 성원이 곧 그날을 앞당기리라 보여지는군요 
4258, nubeamco YuriYuriChang 장합니다 이런식으로 문재인을 윤석열 차기 대통령정권에서 공수처에 불러 망신을 주며 죽여버립시디
4262, c584637 이번 기회에 문프를 죽게 만들어봅시다 여러분의 뜨거운 열정으로 문프를서울 중앙지검이나 공수처에 문앞에 서실 수 있도록 여러분 한분 한분의 이런 열정이 필요합니다 윤석열의 당선은 반드시 그런 세상을 만들것입니다 여러분 다들 화이팅 하시자구요 윤석열을 뽑읍시다 
4360, 등신공수처 해체해라 장난해 등신범죄자 윤써글범죄자 측근들 자백 안하모 떡검들 잘하는 조작을해서라도 만들어야지 답답하다 공수처 고발 사주 금주 결론 관측 윤석열 한동훈 등 무혐의에 무게 다음 뉴스 3WxRPwhcgL
4389,공수처 고발 사주 금주 결론 관측 윤석열 한동훈 등 무혐의에 무게 이 정도 증거와 증인으로 혐의 입증 못하면 의지의 문제 
4479,역시 공수처 인사도 망했군 설마설마 했는데 대체 법조 라인 인선을 누가 한 건지 공수처 고발 사주 금주 결론 관측 윤석열 한동훈 등 무혐의에 무게 PgZsk1KdWB
4484,윤석열은 공수처에서 불기소될 테니 쌍특검 받을 필요가 없다니 내가 이런 멍청한 트윗이 올라오는 타임라인을 무려 2년 가까이 갖고 있었다니 내 대가리가 깨졌었네
4496,공수처 고발사주 의혹 조만간 결론 윤석열 무혐의 관측 다음뉴스 hvRYlWuGJb
4497,공수처 고발사주 의혹 조만간 결론 윤석열 무혐의 관측 다음뉴스 ierXpaMyv3
4518,대다수 국민은 안봐도 다 보이던 거였어 개자식들아 검찰 공수처 경찰 정권의개 머저리들아 접싯물에 코 박아라 고발 사주 의혹 윤석열 불기소 무게 p54qTKcFn9
4520,어떻게든 흠집 내보겠다고 검찰 경찰 공수처 까지 결기있게 도전 했지만 무릎 꿇었네 개자식들 고발 사주 의혹 윤석열 불기소 무게 공수처 이번 주 최종 처분 예상 강제수사 소환 등 진행하지 않아
4545,공수처 고발 사주 금주 결론 관측 윤석열 한동훈 등 무혐의에 무게 공수처장이 정치적 수사를 해서 첫 공수처는 망했음 LJ8H7W52xK
4546,공수처 고발 사주 금주 결론 관측 윤석열 한동훈 등 무혐의에 무게 ZHXDy0Uajn
4562, 법무부와 대검은 할일이그렇게 없나 국민의힘 공수처 윤석열 집단 스토킹 공작 수사 심해져 법조계 위법한 방식 하청 감찰 비판 국민의힘 공수처 아닌 윤수처 집착과 siwLskXNZv
4620,그러니까 공수처 검찰 편먹고 윤석열과 김건희 장모 다 봐주겠단 말이네 
4633,공수처 고발사주 의혹 금주 결론 윤석열 불기소 무게 3SGcq2gIW5 고위공직자범죄수사처 공수처 가 국민의힘 윤석열 대선후보를 피의자로 입건된 4건의 사건 중 이른바 고발 사주 의혹 사건에 대한 결론을 조만간 먼저 낼 것으로 알려졌습니다 TtybXf4IZj
4651,공수처 고발 사주 금주 결론 관측 윤석열 한동훈 등 무혐의에 무게 다음뉴스 Y5ww98XcSh 검사 범죄에 수사를 공수처든 나발이든 검사 출신을 맡겨서 제대로 수사가 될 거라고 믿는 국민이 있을까 
4677,문제다 문제 사법기관의 범죄화 어떡할거야 공수처 고발 사주 금주 결론 관측 윤석열 한동훈 등 무혐의에 무게 rfOzWIjB9L
4691,공수처 고발 사주 금주 결론 관측 윤석열 한동훈 등 무혐의에 무게 XQw0KiTry0 결국 내년 대선은 검찰 공수처 과 기레기와 야당의 연합으로 짜여진 판이 되는건가요 윤석열이 현재 정권을 잡고 있는 여당 후보인 줄 어이가 없군요 윤석열처벌 국민의힘해체
4710,최강욱 김건희가 전주 임이 확인됐다 검찰농단 윤석열과 함께 반드시 단죄해야한다 C5kjVU7IQO 도이치모터스 주가조작 쥴리의 주가조작 대리인 을 개판부와 떡찰이 도피 시켰답니다 공수처는 당장 쥴리를 구속수사하라 
4726,YouTube에서 경향신문 보도 공수처 금주중 윤석열 한동훈 등 무혐의 될듯 제보사주 의혹 여론 높아질듯 보기 Fx8vyJHYxz
4730,공수처 윤석열 무혐의 때릴려고 이미 판깔기 시작했네 언론플레이 가관이다 
4744,공수처 고발사주 의혹 이번주 결론 윤석열 불기소 무게 10탱 M6o8auhn1h
4788,말세다 말세 공수처 고발 사주 금주 결론 관측 윤석열 한동훈 등 무혐의에 무게 72yPe3GHAH
4856,공수처 윤석열 정조준 판사 사찰 추가 입건 더룸 11월 9일 화 fv6jxIMiyh 출처 YouTube
4873,문틀란 TV 공수처 윤석열 불기소 전망 이재명 망했다 박지원 조성은 처벌될 위기 MZK3iSnTn8
4890,공수처 고발사주 의혹 이번주 결론 윤석열 불기소 무게 k914V4MPmA
4898,공수처 고발 사주 금주 결론 관측 윤석열 한동훈 등 무혐의에 무게 jvCbhksm57 때려쳐라 씨발
4948,민주당 박주민과 김용민을 위원장으로 윤석열 일가 부정부패 국민검증 특위 구성 이수진 이게 윤석열식 공정과 상식이냐 검찰은 이정필 검거와 권오수 구속 공수처는 윤석열 직접조사 착수 조성은 손준성은 작년 12월 법정에서 윤석열 지시에 따랐다고 진술했다 0xSW63NzyQ
5071,서울중앙지검장과 특수부를 관장하는 3차장검사로 재직하면서 삼성과 달리 이명박 소송비를 대납한 현대차 비자금 수사를 무마하고 오히려 파렴치한 채양기와 야합하여 제보자를 보복성으로 구속수사하고 기소한 윤석열 후보와 한동훈 검사를 직권남용 및 직무유기 혐의로 공수처에 고발합니다 
5073, 중요공지 윤석열 한동훈 이명박소송비 대납 비자금 수사 직무유기 및 제보자 보복성 수사기소 직권남용 공수처 고발 일시 2021 11 22 월 2 30 장소 공수처 앞 과천정부청사 민원실앞 
5206,공수처가 고발사주 윤석열을 불기소한다는 소리가 들린다 공수처에 느그 변죽 울리더니 결국 윤석열 선거운동 해주는거냐 정신차려라 
5330,장모의 범죄혐의 핵심은 수사도 하지 않은채 불기소 윤석열 사단 정치깡패 정치검찰 공수처에서 즉시 구속수사 하라 vGo5USk3aV
